,joined,kind,link,location,market,name,pitch,raised,size,stage,website,query
0,,,,,,,,,,,,computer vision
1,Jul ’11,Startup,https://angel.co/imrsv,New York City,Computer Vision,IMRSV,"
Emotion Recognition using Webcams
","$2,018,000",11-50,Acquired,imrsv.com,computer vision
2,Aug ’11,Startup,https://angel.co/gazehawk,Mountain View,,GazeHawk,"
Better display ads via eye tracking
",-,-,Acquired,gazehawk.com,computer vision
3,Aug ’11,Startup,https://angel.co/blue-river-technology,Sunnyvale,Computer Vision,Blue River Technology,"
Automatic weed elimination for agriculture as alternative to herbicides www.bluerivert.com
","$30,100,000",11-50,Series A,BlueRiverT.com,computer vision
4,Oct ’12,Startup,https://angel.co/waygo,San Francisco,Augmented Reality,Waygo,"
Instant, visual, mobile translation (by Translate Abroad)
",-,1-10,-,waygoapp.com,computer vision
5,Oct ’11,Startup,https://angel.co/matterport,Sunnyvale,Maps,Matterport,"
3D FOR THE REAL WORLD (www.matterport.com)
","$56,000,000",51-200,Series C,matterport.com,computer vision
6,Apr ’12,Startup,https://angel.co/dekko,San Francisco,3D,Dekko,"
World changing 3D Computer Vision for Wearables
","$5,100,000",1-10,-,dekko.co,computer vision
7,Nov ’14,Startup,https://angel.co/diffbot,Mountain View,Developer APIs,Diffbot,"
We structure the world's knowledge
","$10,000,000",11-50,,diffbot.com,computer vision
8,Jul ’12,Startup,https://angel.co/gumgum,Santa Monica,Computer Vision,GumGum,"
GumGum is an artificial intelligence company with expertise in computer vision.
","$36,825,000",51-200,,gumgum.com,computer vision
9,Jan ’12,Startup,https://angel.co/jumio,Silicon Valley,Payments,Jumio,"
Fast and Secure Payments
","$33,400,000",-,-,jumio.com,computer vision
10,Jan ’14,Startup,https://angel.co/viewdle,Palo Alto,Augmented Reality,Viewdle,"
","$13,500,000",-,Series B,viewdle.com,computer vision
11,Oct ’12,Startup,https://angel.co/prism-skylabs,San Francisco,Technology,Prism Skylabs,"
Disruptive video intelligence and analytics 
","$24,000,000",11-50,Series B,prism.com,computer vision
12,Jul ’12,Startup,https://angel.co/occipital,Boulder,Computer Vision,Occipital,"
Bringing spatial computing to everyday life
","$35,015,000",51-200,Series C,occipital.com,computer vision
13,Feb ’13,Startup,https://angel.co/rtf,Silicon Valley,Cloud Computing,Rising Tide,"
VC Firm single-mindedly focused on character, commitments and results.
",-,1-10,-,rtf.vc,computer vision
14,Jan ’12,Startup,https://angel.co/gazemetrix,Mountain View,Brand,Gazemetrix,"
Helping brands identify Image based social media risks and opportunities in real-time
","$140,000",1-10,Acquired,gazeMetrix.com,computer vision
15,Feb ’12,Startup,https://angel.co/metail,London,Retail Technology,Metail,"
Virtual fittingroom technology for fashion retailers
","$24,886,349",11-50,,metail.com,computer vision
16,Apr ’12,Startup,https://angel.co/triplelift,London,Native Advertising,TripleLift,"
Programmatic Native Advertising
","$16,625,000",51-200,Series B,triplelift.com,computer vision
17,Mar ’13,Startup,https://angel.co/ldv-capital,-,-,LDV Capital,"
 Investing in people building visual technology businesses with deep domain expertise
",-,1-10,-,ldv.co,computer vision
18,Mar ’14,Startup,https://angel.co/canary,New York City,Computer Vision,Canary,"
First Smart Home Security Device for Everyone
","$51,200,000",51-200,Series B,canary.is,computer vision
19,Dec ’13,Startup,https://angel.co/mapillary,Malmö,Maps,Mapillary,"
A platform for extracting map data from street-level images
","$24,550,000",11-50,Series B,mapillary.com,computer vision
20,May ’16,Startup,https://angel.co/scaleapi,San Francisco,Developer APIs,Scale AI,"
The API For Training Data
","$22,500,000",11-50,Series B,scale.ai,computer vision
21,Apr ’12,Startup,https://angel.co/kairos,Miami,Developer APIs,Kairos,"
State-of-the-art, ethical face recognition for developers and businesses worldwide.
","$2,900,000",11-50,Seed,kairos.com,computer vision
22,Aug ’12,Startup,https://angel.co/floored,New York City,Graphics,Floored,"
Interactive 3D Real Estate
","$6,300,000",11-50,Acquired,floored.com,computer vision
23,Aug ’12,Startup,https://angel.co/the-eye-tribe,Palo Alto,Computer Vision,The Eye Tribe,"
Eye Tracking for the Mass Market
","$4,100,000",11-50,Acquired,theeyetribe.com,computer vision
24,Jun ’13,Startup,https://angel.co/placemeter,New York City,Real Time,Placemeter,"
​Turns public video feeds into the first real time, structured data layer on locations
","$7,843,000",11-50,Acquired,placemeter.com,computer vision
25,Dec ’12,Startup,https://angel.co/mavrx,San Francisco,Agriculture,Mavrx,"
Using imagery and data to provide actionable insights to the global agriculture industry.
","$22,420,000",11-50,Series A,mavrx.co,computer vision
26,Dec ’12,Startup,https://angel.co/silverpush,Gurgaon,Artificial Intelligence,SilverPush,"
Artificial Intelligence driven advertising for video content
","$4,050,000",51-200,Series A,silverpush.co,computer vision
27,Dec ’12,Startup,https://angel.co/ogmento,-,-,Ogmento,"
","$15,047,451",11-50,Series A,,computer vision
28,Mar ’13,Startup,https://angel.co/meta-1,New York City,Augmented Reality,meta,"
Most advanced computer glasses in the cosmos
","$23,000,000",1-10,,meta-view.com,computer vision
29,Sep ’13,Startup,https://angel.co/blinkfire-analytics,Chicago,Visual Search,Blinkfire Analytics,"
Using AI and Computer Vision to optimize the sponsorship marketplace
","$900,000",11-50,,blinkfire.com,computer vision
30,Sep ’13,Startup,https://angel.co/radar,New York City,Retail Technology,RADAR,"
RFID & computer vision platform that automates and augments all retail store processes
","$5,830,000",11-50,Seed,goradar.com,computer vision
31,Dec ’13,Startup,https://angel.co/butterfleye,San Mateo,Consumer Electronics,Butterfleye,"
Office security, simplified.
",-,11-50,Acquired,GetButterfleye.com,computer vision
32,Feb ’14,Startup,https://angel.co/surefield,Seattle,Computer Vision,Surefield,"
automating real estate transactions
",-,1-10,-,surefield.com,computer vision
33,Jun ’14,Startup,https://angel.co/binded,San Francisco,Computer Vision,Binded,"
Copyright Made Simple
",-,1-10,-,binded.com,computer vision
34,Feb ’14,Startup,https://angel.co/mtailor,San Francisco,Mass Customization,MTailor,"
A master tailor in your phone
",-,11-50,-,MTailor.com,computer vision
35,Feb ’18,Startup,https://angel.co/priime,San Francisco,Photography,Priime,"
Visual Inspiration
",-,1-10,-,priime.com,computer vision
36,Jan ’15,Startup,https://angel.co/onsizzle,San Francisco,Computer Vision,SIZZLE,"
Search and Share Any Meme
",-,1-10,-,onsizzle.com,computer vision
37,Dec ’15,Startup,https://angel.co/presence-capital,San Francisco,Augmented Reality,Presence Capital: AR &amp; VR venture fund,"
We invest in Augmented Reality (AR) and Virtual Reality (VR) startups
",-,1-10,-,presencecap.com,computer vision
38,Nov ’15,Startup,https://angel.co/iris-automation,Reno,Computer Vision,Iris Automation,"
YC-Backed, Robust Collision Avoidance Systems for Industrial Drones
","$10,000,000",11-50,Series A,irisOnBoard.com,computer vision
39,May ’16,Startup,https://angel.co/focal-systems,Millbrae,Retail Technology,Focal Systems,"
Building Computer Vision Algos to solve billion dollar problems for B&M Retail.
",-,11-50,-,focal.systems,computer vision
40,Apr ’17,Startup,https://angel.co/lvl5,San Francisco,-,lvl5,"
Crowdsourced HD Maps for Self-Driving Cars
",-,11-50,-,lvl5.ai,computer vision
41,Mar ’12,Startup,https://angel.co/meograph,San Francisco,Augmented Reality,Meograph,"
3D people from 2D video
",-,1-10,-,meograph.com,computer vision
42,Dec ’12,Startup,https://angel.co/hiveai,San Francisco,Computer Vision,Hive,"
Full-stack deep learning platform
","$20,200,000",51-200,Series B,thehive.ai,computer vision
43,May ’13,Startup,https://angel.co/entrupy,New York City,Fraud Detection,Entrupy,"
Instantly Authenticate high-value physical goods
",-,11-50,-,entrupy.com,computer vision
44,Jul ’13,Startup,https://angel.co/terravion,San Leandro,Robotics,TerrAvion,"
Largest volume aerial imagery provider to agriculture in USA and Chile
",-,11-50,-,terravion.com,computer vision
45,Aug ’13,Startup,https://angel.co/opternative,Chicago,Eyewear,Visibly,"
The most convenient way to get a prescription for glasses or contacts.
","$9,100,000",11-50,Series A,govisibly.com,computer vision
46,Oct ’14,Startup,https://angel.co/lucid-vr,Santa Clara,Augmented Reality,Lucid,"
Enabling Dual Cameras To See Depth
","$2,100,000",11-50,Series A,lucidcam.com,computer vision
47,Apr ’15,Startup,https://angel.co/standard-cyborg,San Francisco,Computer Vision,Standard Cyborg,"
The API for the Physical World
",-,1-10,-,standardcyborg.com,computer vision
48,Aug ’14,Startup,https://angel.co/verticalai,Kitchener,Robotics,Placenote,"
Advanced Computer Vision and AI for Augmented Reality
","$1,500,000",1-10,Seed,placenote.com,computer vision
49,Sep ’14,Startup,https://angel.co/dextro,New York,Developer APIs,Dextro,"
Video analysis as a service
",-,1-10,Acquired,dextro.co,computer vision
50,Sep ’14,Startup,https://angel.co/modeai,Palo Alto,Visual Search,mode.ai,"
AI Visual Bot for Conversational Shopping
",-,1-10,-,mode.ai,computer vision
51,Apr ’16,Startup,https://angel.co/aptonomy,San Francisco,Computer Vision,Aptonomy,"
Pioneering AI
",-,11-50,-,aptonomy.com,computer vision
52,Oct ’14,Startup,https://angel.co/skydio,Redwood City,Robotics,Skydio,"
The self-flying camera has arrived
","$70,000,000",51-200,Series B,skydio.com,computer vision
53,Nov ’14,Startup,https://angel.co/carbon-robotics,San Francisco,Robotics,Carbon Robotics,"
democratizing advanced robotics
",-,11-50,-,carbon.ai,computer vision
54,Feb ’15,Startup,https://angel.co/mashgin,Mountain View,Retail Technology,Mashgin,"
Reinventing the checkout experience
",-,11-50,-,mashgin.com,computer vision
55,Feb ’15,Startup,https://angel.co/skopenow,New York City,Insurance,Skopenow,"
An analytical search engine for fraud and risk.
","$4,000,000",1-10,Seed,skopenow.com,computer vision
56,Apr ’15,Startup,https://angel.co/knithealth,San Francisco,Computer Vision,Knit Health,"
A Sleep Vision Company
",-,11-50,-,knithealth.com,computer vision
57,Jun ’15,Startup,https://angel.co/june,San Francisco,Technology,June,"
June Intelligent Oven
","$29,500,000",11-50,Series A,juneoven.com,computer vision
58,May ’16,Startup,https://angel.co/pilot-ai-labs,Palo Alto,Computer Vision,Pilot AI,"
Software-based deep learning computer vision on commodity embedded platforms
",-,11-50,Series A,pilot.ai,computer vision
59,Apr ’16,Startup,https://angel.co/loomai,San Francisco,Augmented Reality,Loom.ai,"
Personalized expressive 3D avatars from photographs for chat, mobile AR, VR, e-commerce
","$5,850,000",11-50,Seed,loomai.com,computer vision
60,Dec ’16,Startup,https://angel.co/9fin,London,Data,9fin,"
AI powered financial data for the bond market
",-,1-10,-,9fin.com,computer vision
61,Apr ’13,Startup,https://angel.co/clip,San Francisco,Film,Clip,"
The ""Actual Reality"" company, creating immersive experiences from real-world events.
",-,1-10,-,goclip.com,computer vision
62,Jun ’16,Startup,https://angel.co/uru,New York City,Computer Vision,Uru,"
Using computer vision and other AI to better pair brands with video. 
",-,1-10,Acquired,uruvideo.com,computer vision
63,Sep ’13,Startup,https://angel.co/gauss-surgical-1,Menlo Park,Computer Vision,Gauss Surgical,"
AI-Enabled Platform for Surgery
","$38,026,000",51-200,Series C,gausssurgical.com,computer vision
64,Nov ’13,Startup,https://angel.co/lumific,Sydney,Photo Sharing,Lumific,"
Your photos: automatically edited, sorted and searchable 
","$250,000",1-10,Acquired,lumific.com,computer vision
65,Jan ’14,Startup,https://angel.co/seene-1,San Francisco,Computer Vision,Seene,"
Putting your reality into virtual experiences
","$600,000",1-10,,seene.co,computer vision
66,Dec ’14,Startup,https://angel.co/mightyai,Seattle,Computer Vision,Mighty AI,"
Training Data as a Service™ for Autonomous Vehicle AI
","$27,250,000",51-200,Series A,mty.ai,computer vision
67,Jan ’15,Startup,https://angel.co/osmo,Palo Alto,Computer Vision,Osmo,"
Make kids fall in love with learning, through play
","$38,125,000",11-50,,playosmo.com,computer vision
68,Jun ’15,Startup,https://angel.co/memery,Menlo Park,Augmented Reality,Overlay,"
Mobile Augmented Reality for Rapid 5G netowrk deployment
",-,1-10,-,overlay.com.ar,computer vision
69,Jul ’15,Startup,https://angel.co/synx,San Jose,Computer Vision,Synx.co,"
Synx provides computer vision solutions to companies and organizations.
",-,11-50,-,synx.co,computer vision
70,Sep ’15,Startup,https://angel.co/picasso-labs,New York City,Computer Vision,Picasso Labs,"
Using AI to fuse creativity and data for high impact visual communication.
","$1,500,000",1-10,Seed,picassolabs.com,computer vision
71,May ’16,Startup,https://angel.co/dream-garage,San Francisco,Augmented Reality,Dream,"
Spatial Collaboration for Teams
",-,1-10,-,dreamos.com,computer vision
72,Dec ’15,Startup,https://angel.co/a17,Oakland,Robotics,area17,"
Autonomous navigation for machines
",-,1-10,-,area17.ai,computer vision
73,Dec ’15,Startup,https://angel.co/magentiq-eye,Israel,Medical Devices,Magentiq Eye,"
See beyond the visible
","$150,000",-,Seed,magentiq.com,computer vision
74,Feb ’16,Startup,https://angel.co/imagen-technologies,New York City,Computer Vision,Imagen Technologies,"
Applying Artificial Intelligence To Medical Diagnostics
","$55,000,000",11-50,Series B,imagen.ai,computer vision
75,Feb ’16,Startup,https://angel.co/instant-esports,Berkeley,Online Gaming,Blitz Esports,"
Automated coaching app for gamers
",-,11-50,-,blitzesports.com,computer vision
76,Apr ’16,Startup,https://angel.co/vidrovr,New York City,Computer Vision,Vidrovr (Techstars '17),"
search video like you search the web
","$500,000",1-10,,vidrovr.com,computer vision
77,Mar ’16,Startup,https://angel.co/faception,San Francisco,Computer Vision,Faception,"
Facial personality Analytics
","$125,000",11-50,Series A,faception.com,computer vision
78,May ’16,Startup,https://angel.co/virtual-reality-investments,San Francisco,Augmented Reality,Candela Partners,"
Investing in Mixed Reality (AR, VR, 3D, Computer Vision)
",-,1-10,-,candelapartners.co,computer vision
79,May ’16,Startup,https://angel.co/mdacne,San Francisco,Mobile Health,MDacne (YC W17),"
Building the future of Dermatology, starting with acne. 
","$1,600,000",1-10,Seed,mdacne.com,computer vision
80,Jun ’17,Startup,https://angel.co/realsynth,Berlin,Virtual Worlds,RealSynth,"
Virtual Worlds to safely train and develop intelligent agents as a service.
",-,1-10,-,realsynth.de,computer vision
81,Dec ’14,Startup,https://angel.co/gunnar-optiks,San Diego,Consumer Electronics,GUNNAR Optiks,"
",-,11-50,-,gunnars.com,computer vision
82,Jan ’12,Startup,https://angel.co/tagasauris,Santa Monica,Data Mining,Tagasauris,"
Video Search and Discovery Platform 
","$1,000,000",1-10,Seed,tagasauris.com,computer vision
83,Apr ’12,Startup,https://angel.co/veebot,Mountain View,Medical Devices,Veebot,"
Automated Venipuncture Solutions (e.g., phlebotomy, IV insertion, blood gasses etc.)
",-,-,-,veebot.com,computer vision
84,May ’16,Startup,https://angel.co/affectiva,Boston,Emotions,Affectiva,"
Bringing artificial emotional intelligence to the digital world 
","$34,800,000",11-50,Series D,affectiva.com,computer vision
85,Aug ’12,Startup,https://angel.co/ditto,Cambridge,Photo Sharing,Ditto,"
Image search platform for Instagram, Tumblr, Twitter and Pinterest
","$6,900,000",11-50,Series C,dittolabs.io,computer vision
86,Dec ’13,Startup,https://angel.co/gestoos,San Francisco,Advertising Platforms,Gestoos,"
Computer vision platform that enables natural gesture control of digital devices
","$150,000",11-50,Seed,gestoos.com,computer vision
87,Nov ’12,Startup,https://angel.co/glamst,San Francisco,Retail Technology,GlamST,"
AR for Beauty brands and retailers
",-,1-10,Acquired,glamst.com,computer vision
88,Mar ’13,Startup,https://angel.co/orbeus-1,Sunnyvale,Face Recognition,Orbeus,"
Orbeus, Inc., an innovator in automated facial, object and scene recognition.
",-,11-50,-,orbeus.com,computer vision
89,Aug ’13,Startup,https://angel.co/mosss,San Francisco,Computer Vision,Mosss,"
Powering Design Intelligence
",-,1-10,-,mosss.com,computer vision
90,Mar ’15,Startup,https://angel.co/imerso,Oslo,Construction,Imerso,"
3D scanning platform for Construction
",-,1-10,-,imerso.com,computer vision
91,May ’14,Startup,https://angel.co/numina,Brooklyn,Sensors,Numina,"
Real-time insights from streets
",-,1-10,-,numina.co,computer vision
92,Feb ’15,Startup,https://angel.co/tractable,London,Machine Learning,Tractable,"
Deep learning for automation
",-,51-200,-,tractable.io,computer vision
93,Apr ’15,Startup,https://angel.co/mediachainlabs,Brooklyn,Computer Vision,Mediachain Labs,"
Our mission is to build a universal, open media library.
","$1,500,000",1-10,Seed,mediachain.io,computer vision
94,Sep ’15,Startup,https://angel.co/kpcb-edge,San Francisco,Computer Vision,KPCB Edge,"
Seed VC Focused on Emerging Technology
",-,-,-,kpcbedge.com,computer vision
95,Sep ’15,Startup,https://angel.co/blurbiz,San Francisco,Social Media Platforms,Blurbiz,"
Web-app for digital publishers to create and publish videos on Snapchat.
",-,1-10,-,blurbiz.io,computer vision
96,Oct ’15,Startup,https://angel.co/supahands,Singapore,Data Mining,Supahands,"
Providing Training Data for Machine Learning/AI Companies
",-,11-50,-,supahands.com,computer vision
97,Nov ’15,Startup,https://angel.co/dispatch-6,South San Francisco,Robotics,Dispatch,"
making delivery smart
",-,1-10,-,dispatch.ai,computer vision
98,Mar ’16,Startup,https://angel.co/pair-2,San Francisco,Mobile Commerce,Pair,"
Pair lets users view virtual products in their home or office like they already exist
",-,,-,pair3d.com,computer vision
99,Mar ’16,Startup,https://angel.co/thirdeye-2,London,Computer Vision,ThirdEye,"
Building real-time CCTV powered AI assistants to put in the hands of public space workers.
",-,11-50,-,thirdeyelabs.com,computer vision
100,Aug ’16,Startup,https://angel.co/shapertools,San Francisco,Robotics,Shaper,"
Shaper is a human-involved robotics company.
","$13,300,000",11-50,,shapertools.com,computer vision
101,Aug ’12,Startup,https://angel.co/visualead,Tel Aviv-Yafo,Bridging Online and Offline,Visualead,"
Effective and Secure Offline to Mobile experiences
","$2,350,000",11-50,Series B,visualead.com,computer vision
102,Sep ’13,Startup,https://angel.co/wirewax,London,Computer Vision,WIREWAX,"
Connected video.
",-,11-50,Series A,wirewax.com,computer vision
103,Mar ’13,Startup,https://angel.co/flyreel,Denver,Insurance,Flyreel,"
AI-assisted underwriting solution for commercial and residential properties.  
",-,1-10,-,flyreel.com,computer vision
104,Apr ’13,Startup,https://angel.co/bitlit,Vancouver,Computer Vision,Shelfie,"
Shazam for bookworms
",-,1-10,,shelfie.com,computer vision
105,Apr ’13,Startup,https://angel.co/brivas,Cincinnati,Algorithms,BRIVAS,"
Biometric Encryption and Liveness Authentication Research
",-,1-10,-,alliacense.com,computer vision
106,May ’13,Startup,https://angel.co/sighthound,Palo Alto,Developer APIs,Sighthound,"
Helping computers to see
",-,11-50,-,sighthound.com,computer vision
107,Feb ’14,Startup,https://angel.co/augmented-pixels,Palo Alto,Augmented Reality,Augmented Pixels,"
Computer vision, SLAM, 3d mapping for mobile devices, robots and drones.
","$2,425,000",11-50,Seed,augmentedpixels.com,computer vision
108,Jul ’13,Startup,https://angel.co/imagry,Haifa,Deep Learning,Imagry,"
Vision based autonomous driving
","$520,000",11-50,,imagry.co,computer vision
109,Oct ’13,Startup,https://angel.co/egos-ventures-1,Atlanta,Android,Egos Ventures,"
Computer Vision Innovation Lab
",-,1-10,-,egosventures.com,computer vision
110,Apr ’16,Startup,https://angel.co/cloudastructure,Redwood City,Enterprise Security,Cloudastructure,"
Physical Security Infrastructure in the Cloud
",-,1-10,-,cloudastructure.com,computer vision
111,Jan ’14,Startup,https://angel.co/augary,New York City,Computer Vision,Augary,"
Enterprise, real-time visual data
",-,1-10,Seed,augary.com,computer vision
112,May ’14,Startup,https://angel.co/algolux,San Francisco,Computer Vision,Algolux,"
Driving Safety in Autonomous Vision
","$2,600,000",11-50,Series A,algolux.com,computer vision
113,Sep ’14,Startup,https://angel.co/iunu,Seattle,Computer Vision,IUNU,"
The engine for the next agricultural revolution
",-,11-50,-,iunu.com,computer vision
114,Aug ’16,Startup,https://angel.co/peeq-data,San Francisco,Augmented Reality,PEEQ,"
Intelligent Video Capture
",-,1-10,-,peeqvideo.com,computer vision
115,Feb ’15,Startup,https://angel.co/hivemapper,Burlingame,Maps,Hivemapper,"
Build maps that see and reveal changes
","$2,500,000",11-50,Seed,hivemapper.com,computer vision
116,Feb ’15,Startup,https://angel.co/naked-labs,Redwood City,Fitness,Naked Labs,"
The World's First Home Body Scanner
",-,11-50,-,nakedlabs.com,computer vision
117,Aug ’15,Startup,https://angel.co/markable,New York City,Visual Search,Markable.ai,"
See Differently - powered by computer vision AI technology   
","$4,550,000",11-50,Seed,markable.ai,computer vision
118,Nov ’15,Startup,https://angel.co/fitnet,San Francisco,Fitness,Fitnet,"
Personal trainer for everyone.
","$1,200,000",1-10,Seed,fit.net,computer vision
119,Aug ’16,Startup,https://angel.co/greppyco,Palo Alto,Robotics,Greppy,"
Robots for the home using CV and ML to do menial work
",-,-,-,greppy.co,computer vision
120,Aug ’16,Startup,https://angel.co/farmwise,San Francisco,Robotics,FarmWise,"
Farming every plant, every day
",-,11-50,-,farmwise.io,computer vision
121,Feb ’11,Startup,https://angel.co/pandoodle,Mountain View,Digital Media,Pandoodle,"
Computer Vision for Advertising
","$3,525,621",11-50,,pandoodle.com,computer vision
122,Apr ’13,Startup,https://angel.co/logograb,Dublin,Computer Vision,LogoGrab,"
Detect logos at scale in images and video. Monetize and measure brands in the Visual Age.
","$2,860,000",11-50,,logograb.com,computer vision
123,Aug ’13,Startup,https://angel.co/ingrain-io,Palo Alto,Augmented Reality,Ingrain,"
Augmenting Reality beyond the range of depth sensors
","$920,000",1-10,Seed,ingrain.io,computer vision
124,Jan ’17,Startup,https://angel.co/essessinc,Boston,Energy Efficiency,Essess,"
City-scale smart thermal mapping
",-,11-50,,essess.com,computer vision
125,Sep ’13,Startup,https://angel.co/artguru,London,Computer Vision,ArtGuru,"
The art to look at art
","$66,035",1-10,Seed,artguru.me,computer vision
126,Jan ’15,Startup,https://angel.co/semanticmd,Houston,Computer Vision,SemanticMD,"
Medical image analysis platform powered by deep learning
",-,1-10,-,semantic.md,computer vision
127,Jan ’14,Startup,https://angel.co/real-life-analytics,London,Advertising Platforms,Real Life Analytics,"
Smart Digital Signage
",-,1-10,-,reallifeanalytics.com,computer vision
128,Mar ’14,Startup,https://angel.co/replica-labs,Boulder,Robotics,Replica Labs,"
Bring 3D Home
",-,11-50,Acquired,replicalabs.com,computer vision
